pid,uri,title,longitude,latitude,place_types
98934,https://pleiades.stoa.org/places/98934,Castra Herculis?,5.873766999147195,51.97151800906167,fort|fort-2
98952,https://pleiades.stoa.org/places/98952,Ermelo,5.627929,52.300732,fort
98956,https://pleiades.stoa.org/places/98956,Fectio,5.1618663375558045,52.05771898438935,fort|fort-2
98976,https://pleiades.stoa.org/places/98976,Harenatium,6.125456,51.812301000000005,fort
98985,https://pleiades.stoa.org/places/98985,Huissen-Hazebergh,5.941384,51.937394,fort
98997,https://pleiades.stoa.org/places/98997,Laurum,4.883239,52.0855935,fort|fort-2
98998,https://pleiades.stoa.org/places/98998,Levefanum?,5.349007,51.9676425,fort|fort-2
99002,https://pleiades.stoa.org/places/99002,Loo-Loowaard,5.9884015,51.925560000000004,fort
99006,https://pleiades.stoa.org/places/99006,Mannaricium,5.424049500000001,51.9662405,fort
99008,https://pleiades.stoa.org/places/99008,Matilo,4.5180279500000005,52.1501152,fort|fort-2
99021,https://pleiades.stoa.org/places/99021,Praetorium Agrippinae,4.4330035,52.1798775,fort|fort-2
99024,https://pleiades.stoa.org/places/99024,Randwijk,5.7064045,51.954673,fort|fort-2
99046,https://pleiades.stoa.org/places/99046,Traiectum,5.1220985,52.090934000000004,fort|fortified-settlement
99058,https://pleiades.stoa.org/places/99058,Velsen,4.6437735,52.45268,fort|fort-2
108744,https://pleiades.stoa.org/places/108744,Unnamed fort at Anreppen,8.59073685305567,51.737482002015504,fort|fort-2
108754,https://pleiades.stoa.org/places/108754,Argentorate,7.747407,48.582416,fort|fort-2
108756,https://pleiades.stoa.org/places/108756,Arlaines,3.1802395,49.396816,fort
108771,https://pleiades.stoa.org/places/108771,[Augusta] Ambianorum,1.461921,50.021578,plaza|sanctuary|theatre
108785,https://pleiades.stoa.org/places/108785,Bad Münstereifel-Houverath,6.904518,50.540459,fort
108789,https://pleiades.stoa.org/places/108789,Bailleul-sur-Thérain,2.2317945,49.3855765,archaeological-site|temple
108797,https://pleiades.stoa.org/places/108797,Beckinghausen,7.565823,51.6136695,fort
108804,https://pleiades.stoa.org/places/108804,Bendorf,7.5722295,50.421092,fort|fort-2
108817,https://pleiades.stoa.org/places/108817,Bodobrica,7.591762433333333,50.23104026666666,fort|fort-2
108818,https://pleiades.stoa.org/places/108818,Bonna,7.096251,50.732632,fort
108837,https://pleiades.stoa.org/places/108837,Burginatium,6.3059345,51.7268395,fort
108863,https://pleiades.stoa.org/places/108863,Castellum Divitia,6.973596,50.9372385,fort
108864,https://pleiades.stoa.org/places/108864,Castellum Mattiacorum,8.2827325,50.0086305,fort
108886,https://pleiades.stoa.org/places/108886,La Chaussée-Tirancourt,2.163773,49.951471999999995,fort
108922,https://pleiades.stoa.org/places/108922,Deneuvre,6.7349565,48.444158,temple
108924,https://pleiades.stoa.org/places/108924,Deuilly,3.166479,48.272183,temple
108929,https://pleiades.stoa.org/places/108929,Domburg,3.497232,51.562997,temple
108931,https://pleiades.stoa.org/places/108931,Dorsten-Holsterhausen,6.9470895666666665,51.677230466666664,fort|fort-2
108937,https://pleiades.stoa.org/places/108937,Duisburg-Rheinhausen,6.72786,51.409284,fort
108939,https://pleiades.stoa.org/places/108939,Dunense Castrum,1.329017,48.068091,fort
108941,https://pleiades.stoa.org/places/108941,Durnomagus,6.842095,51.093062,fort
108961,https://pleiades.stoa.org/places/108961,Ems,7.7127245,50.3362065,fort
108963,https://pleiades.stoa.org/places/108963,Epoissum,5.167433,49.630979,temple
108968,https://pleiades.stoa.org/places/108968,Estrées-St-Denis,2.6423744,49.425878,sanctuary|temple
108980,https://pleiades.stoa.org/places/108980,Feresne?,5.743404,51.020617,fort
108986,https://pleiades.stoa.org/places/108986,Flörsheim,8.431347,50.014408,fort
108989,https://pleiades.stoa.org/places/108989,Folleville,2.3598295,49.671578999999994,fort
108999,https://pleiades.stoa.org/places/108999,Gamaches-en-Vexin,1.613094,49.267831,temple
109002,https://pleiades.stoa.org/places/109002,Gelduba,6.6767965,51.3307795,fort
109006,https://pleiades.stoa.org/places/109006,Gernsheim,8.4858,49.750419,fort
109011,https://pleiades.stoa.org/places/109011,Goch-Asperden,6.115552,51.69258,fort
109012,https://pleiades.stoa.org/places/109012,Göllheim,8.054102,49.594028,mine
109013,https://pleiades.stoa.org/places/109013,Görresburg,6.62548385,50.48753145,temple
109020,https://pleiades.stoa.org/places/109020,Gross-Gerau,8.481843,49.921439,fort
109022,https://pleiades.stoa.org/places/109022,Grubbenvorst-Lottum,6.162546,51.461641,fort
109029,https://pleiades.stoa.org/places/109029,Haltern,7.169241349973799,51.74008305466715,archaeological-site|fort|fort-2
109035,https://pleiades.stoa.org/places/109035,Heddesdorf,7.467986,50.434933,fort
109036,https://pleiades.stoa.org/places/109036,Heftrich,8.333267,50.2144555,fort
109037,https://pleiades.stoa.org/places/109037,Heidekringen,8.1906315,50.152012,fort
109045,https://pleiades.stoa.org/places/109045,Heumen-Heumensoord,5.869905867647834,51.792340391572075,fort|tower-single
109046,https://pleiades.stoa.org/places/109046,Hochscheid,7.2248335,49.869694499999994,temple
109047,https://pleiades.stoa.org/places/109047,Hofheim,8.450889,50.080772,fort
109050,https://pleiades.stoa.org/places/109050,Holzhausen,7.9480079,50.2149683,fort
109056,https://pleiades.stoa.org/places/109056,Hunzel,7.8327670000000005,50.247397500000005,fort
109064,https://pleiades.stoa.org/places/109064,Imsbach,7.879448,49.582328,mine
109072,https://pleiades.stoa.org/places/109072,Kall,6.551606,50.539785,mine
109074,https://pleiades.stoa.org/places/109074,Kapersburg,8.635684199754634,50.31301504808457,fort|fort-2
109077,https://pleiades.stoa.org/places/109077,Kemel,8.016430499999998,50.1653515,fort
109084,https://pleiades.stoa.org/places/109084,Kneblinghausen Roman camp,8.505106699999999,51.4913073,fort|fort-2
109085,https://pleiades.stoa.org/places/109085,Köln-Marienburg,6.975984,50.903568500000006,fort
109086,https://pleiades.stoa.org/places/109086,Königswinter-Drachenfels,7.210272,50.665167,mine
109097,https://pleiades.stoa.org/places/109097,Lahnau-Dorlar,8.5656765,50.580496499999995,fort
109099,https://pleiades.stoa.org/places/109099,Lahnstein,7.604085,50.308985,fort
109100,https://pleiades.stoa.org/places/109100,Langenhain,8.636999,50.365244,fort
109103,https://pleiades.stoa.org/places/109103,Lavoye,5.140743,49.045102,mine|production
109111,https://pleiades.stoa.org/places/109111,Liercourt-Erondelle,1.88659679556,50.0407080694,fort
109123,https://pleiades.stoa.org/places/109123,Ludwigshafen,8.441504,49.4606205,fort
109142,https://pleiades.stoa.org/places/109142,Marienfels,7.812087999999999,50.240308999999996,fort
109149,https://pleiades.stoa.org/places/109149,Mauchamp,3.9285285,49.4206905,fort
109166,https://pleiades.stoa.org/places/109166,Minatiacum,4.054387,49.566031,temple
109170,https://pleiades.stoa.org/places/109170,Möhn,6.587647065985,49.831244249899996,temple
109173,https://pleiades.stoa.org/places/109173,Monheim-Haus Bürgel,6.8729960000000005,51.129401,fort
109174,https://pleiades.stoa.org/places/109174,(Mons) Brisiacus,7.581259,48.0286545,fort|fort-2
109192,https://pleiades.stoa.org/places/109192,Neckarau,8.492335,49.452971,fort
109201,https://pleiades.stoa.org/places/109201,Neuss-Grimmlinghausen,6.754779,51.177233,fort
109202,https://pleiades.stoa.org/places/109202,Neuwied-Engers,7.545498,50.426987,fort
109203,https://pleiades.stoa.org/places/109203,Newel-Butzweiler,6.634279742,49.82291194,mine|quarry
109207,https://pleiades.stoa.org/places/109207,Niederberg,7.62775,50.369817,fort
109208,https://pleiades.stoa.org/places/109208,Niederbieber,7.471947,50.467025,fort
109215,https://pleiades.stoa.org/places/109215,Novaesium,6.721944,51.183889,fort
109229,https://pleiades.stoa.org/places/109229,Oberaden,7.5831968,51.6134127,fort|fort-2|tower-defensive
109235,https://pleiades.stoa.org/places/109235,Oudenburg,3.004621,51.184442,fort
109244,https://pleiades.stoa.org/places/109244,Pelm,6.674697360669454,50.23068070077137,sanctuary|temple
