pid,uri,title,longitude,latitude
79645,https://pleiades.stoa.org/places/79645,Portus ‘Adurni’?,-1.1144595000000002,50.837565
79652,https://pleiades.stoa.org/places/79652,Ratostabios? (river),-3.3018699265474316,51.609964392017915
79656,https://pleiades.stoa.org/places/79656,Rigodounon?,-2.0032045483526626,53.58322772685001
79663,https://pleiades.stoa.org/places/79663,Rutunium?,-2.645845,52.846009
79706,https://pleiades.stoa.org/places/79706,Tamion?,-3.1809505,51.4817495
79738,https://pleiades.stoa.org/places/79738,Vertis?,-2.223627,52.191989
89093,https://pleiades.stoa.org/places/89093,‘Abraouannos’? (river),-4.833333,54.85
89112,https://pleiades.stoa.org/places/89112,Bannatia?,-3.9875967,56.3658011
89120,https://pleiades.stoa.org/places/89120,Bodotria? Aestuarium,-2.75,56.166667
89121,https://pleiades.stoa.org/places/89121,Boresti?,-3.5236583427220176,57.459112153427455
89125,https://pleiades.stoa.org/places/89125,B(r)ibra?,-3.4186763573239536,54.82612807068517
89134,https://pleiades.stoa.org/places/89134,Cana? (island),-6.5498553,57.0612103
89139,https://pleiades.stoa.org/places/89139,Corda?,-3.7054696558291322,55.679855116886344
89148,https://pleiades.stoa.org/places/89148,Colani(c)a?,-3.8249614810307304,56.008168892359684
89205,https://pleiades.stoa.org/places/89205,Ilkley (Verbeia?),-1.824171675856724,53.92665545004785
89206,https://pleiades.stoa.org/places/89206,Victoria?,-3.4115965,56.5334205
89226,https://pleiades.stoa.org/places/89226,Lindon?,-4.453567,56.063365
89237,https://pleiades.stoa.org/places/89237,Magis?,-3.5459931847646073,54.65557709668285
89264,https://pleiades.stoa.org/places/89264,Ouarar? (river),-4.803934691566848,57.41170720953801
89270,https://pleiades.stoa.org/places/89270,Ouolas? Kolpos,-4.67,58.505
89297,https://pleiades.stoa.org/places/89297,Tameia?,-3.14319,56.625325
98933,https://pleiades.stoa.org/places/98933,Carvo?,5.56848,51.931310499999995
98934,https://pleiades.stoa.org/places/98934,Castra Herculis?,5.873766999147195,51.97151800906167
98940,https://pleiades.stoa.org/places/98940,Codanus? Sinus,7.5,54.5
98948,https://pleiades.stoa.org/places/98948,Dulgubnii?,10.123495719644907,52.793427114624706
98980,https://pleiades.stoa.org/places/98980,Heruli?,12.62270798892781,55.48486466792737
98993,https://pleiades.stoa.org/places/98993,Kaloukones?,11.65225227494211,52.07753527880175
98998,https://pleiades.stoa.org/places/98998,Levefanum?,5.349007,51.9676425
99009,https://pleiades.stoa.org/places/99009,Melibokon? Oros,8.6368924,49.72496
99032,https://pleiades.stoa.org/places/99032,Sabalingioi?,9.067378902037794,55.111572248485096
99034,https://pleiades.stoa.org/places/99034,Salii?,6.607109955048887,52.41095109403304
99037,https://pleiades.stoa.org/places/99037,Sigoulones?,9.487941373308917,54.43699338528415
99043,https://pleiades.stoa.org/places/99043,Teutoburgiensis? Saltus,7.78690963315452,52.221941958070026
99044,https://pleiades.stoa.org/places/99044,Teutones?,9.013238930398249,54.5666562099397
108727,https://pleiades.stoa.org/places/108727,Ad Lullia?,1.875599,50.33182
108755,https://pleiades.stoa.org/places/108755,Argentovaria?,7.545778,48.051268500000006
108780,https://pleiades.stoa.org/places/108780,Axuenna?,4.039669,49.441308
108787,https://pleiades.stoa.org/places/108787,Baetasii?,6.085209292149321,51.32379764900952
108792,https://pleiades.stoa.org/places/108792,Basilia?,4.463465,49.170668
