pid,uri,title,longitude,latitude,place_types
59860,https://pleiades.stoa.org/places/59860,Kambouson Stoma,87.5,22.5,unknown
59898,https://pleiades.stoa.org/places/59898,Lonibarai? Stoma,73.2261416632634,30.740367443312874,river
59906,https://pleiades.stoa.org/places/59906,Malamantos? (river),72.5,32.5,river
59909,https://pleiades.stoa.org/places/59909,Maleus (mountain),87.5,22.5,mountain
59918,https://pleiades.stoa.org/places/59918,Maroae,72.5,27.5,people
59981,https://pleiades.stoa.org/places/59981,Parenos?,72.5,32.5,river
60010,https://pleiades.stoa.org/places/60010,Pseudostomos,92.5,22.5,unknown
60022,https://pleiades.stoa.org/places/60022,Sagapa Stoma,73.22614166326343,30.74036744331288,mouth|river
60028,https://pleiades.stoa.org/places/60028,Sambalaka,77.5,27.5,unknown
60030,https://pleiades.stoa.org/places/60030,Sambos (river),82.5,27.5,river
60033,https://pleiades.stoa.org/places/60033,Saparnos? (river),72.5,32.5,river
60052,https://pleiades.stoa.org/places/60052,Sinthon Stoma,70.12808435,29.059230300000003,river
70972,https://pleiades.stoa.org/places/70972,Untitled,-2.5,49.5,road
70973,https://pleiades.stoa.org/places/70973,Untitled,-2.5,49.5,road
70974,https://pleiades.stoa.org/places/70974,Untitled,-2.5,49.5,road
70976,https://pleiades.stoa.org/places/70976,Road segment(s): Morlaix → Fanum Martis,-2.5,49.5,road
70977,https://pleiades.stoa.org/places/70977,Untitled,-2.5,49.5,road
70978,https://pleiades.stoa.org/places/70978,Unnamed roads in the area of Vorgium,-2.5,49.5,road
79450,https://pleiades.stoa.org/places/79450,‘Eltavori’ (river),-1.5,52.5,river
80032,https://pleiades.stoa.org/places/80032,"Unnamed aqueduct(s) at Dolaucothi, Wales",-3.9498,52.0446,aqueduct
80033,https://pleiades.stoa.org/places/80033,Untitled,-2.5,52.5,aqueduct
80034,https://pleiades.stoa.org/places/80034,Untitled,-2.5,50.5,aqueduct
80035,https://pleiades.stoa.org/places/80035,Untitled,-0.5,53.5,aqueduct
80787,https://pleiades.stoa.org/places/80787,Untitled,-3.5,51.5,dam
80788,https://pleiades.stoa.org/places/80788,Untitled,-2.5,51.5,dam
80789,https://pleiades.stoa.org/places/80789,Untitled,-0.5,53.5,dam
82298,https://pleiades.stoa.org/places/82298,Untitled,-4.5,50.5,mine
82302,https://pleiades.stoa.org/places/82302,Untitled,-2.5,52.5,mine
82303,https://pleiades.stoa.org/places/82303,Untitled,-2.5,51.5,mine
82304,https://pleiades.stoa.org/places/82304,Untitled,-2.5,51.5,quarry
82305,https://pleiades.stoa.org/places/82305,Untitled,-2.5,51.5,quarry
82306,https://pleiades.stoa.org/places/82306,Untitled,-2.5,51.5,quarry
82307,https://pleiades.stoa.org/places/82307,Unnamed quarry,-2.5,50.5,quarry
82308,https://pleiades.stoa.org/places/82308,Untitled,-1.5,53.5,mine
82311,https://pleiades.stoa.org/places/82311,Untitled,-0.5,51.5,mine
82312,https://pleiades.stoa.org/places/82312,Untitled,0.5,51.5,mine
82313,https://pleiades.stoa.org/places/82313,Untitled,0.5,50.5,mine
83052,https://pleiades.stoa.org/places/83052,Untitled,-2.0,51.5,road
83053,https://pleiades.stoa.org/places/83053,Untitled,-2.0,51.5,road
83054,https://pleiades.stoa.org/places/83054,Untitled,-2.0,51.5,road
83055,https://pleiades.stoa.org/places/83055,Untitled,-0.4059836666666667,52.81194816666666,road
83056,https://pleiades.stoa.org/places/83056,Untitled,0.40596426267434715,51.70181552644581,road
83057,https://pleiades.stoa.org/places/83057,Untitled,-2.0,51.5,road
83058,https://pleiades.stoa.org/places/83058,Untitled,-2.0,51.5,road
83059,https://pleiades.stoa.org/places/83059,Untitled,-2.0,51.5,road
89168,https://pleiades.stoa.org/places/89168,Dorvantium/[Derventio] (river),-2.5,54.5,river
89169,https://pleiades.stoa.org/places/89169,Dounon Kolpos,-1.5,54.5,water-open
89847,https://pleiades.stoa.org/places/89847,Untitled,-3.5,56.5,aqueduct
89848,https://pleiades.stoa.org/places/89848,Untitled,-2.4645105915060115,54.99488505189862,aqueduct
89849,https://pleiades.stoa.org/places/89849,Untitled,-1.7533801161930673,54.8165904925701,aqueduct
90602,https://pleiades.stoa.org/places/90602,Road network south of Hadrian's Wall,-3.0,56.5,road
90603,https://pleiades.stoa.org/places/90603,Road network north of Hadrian's Wall,-3.0,56.5,road
98929,https://pleiades.stoa.org/places/98929,Bructeri,7.5,51.5,people
98940,https://pleiades.stoa.org/places/98940,Codanus? Sinus,7.5,54.5,water-open
99047,https://pleiades.stoa.org/places/99047,Tubantes,6.5,52.5,people
99662,https://pleiades.stoa.org/places/99662,Corbulonis Fossa,4.4333502750000005,52.105167249999994,canal
100417,https://pleiades.stoa.org/places/100417,Untitled,5.379494833333332,52.00905933333333,road
100418,https://pleiades.stoa.org/places/100418,Untitled,9.0,53.5,road
108858,https://pleiades.stoa.org/places/108858,Carbonaria Silva,4.5,50.5,forest
109478,https://pleiades.stoa.org/places/109478,Untitled,6.5,50.5,aqueduct
109480,https://pleiades.stoa.org/places/109480,Untitled,8.5,49.5,aqueduct
110232,https://pleiades.stoa.org/places/110232,Untitled,5.5,51.5,bridge
110236,https://pleiades.stoa.org/places/110236,Untitled,6.5,49.5,bridge
110237,https://pleiades.stoa.org/places/110237,Untitled,7.5,50.5,bridge
110240,https://pleiades.stoa.org/places/110240,Untitled,8.308260050000001,50.004239,bridge
113252,https://pleiades.stoa.org/places/113252,Untitled,4.5,49.5,road
113253,https://pleiades.stoa.org/places/113253,Untitled,4.5,49.5,road
113254,https://pleiades.stoa.org/places/113254,Untitled,4.5,49.5,road
113255,https://pleiades.stoa.org/places/113255,Untitled,4.5,49.5,road
113256,https://pleiades.stoa.org/places/113256,Untitled,4.5,49.5,road
113257,https://pleiades.stoa.org/places/113257,Untitled,4.5,49.5,road
113258,https://pleiades.stoa.org/places/113258,Untitled,4.5,49.5,road
113259,https://pleiades.stoa.org/places/113259,Untitled,4.5,49.5,road
113260,https://pleiades.stoa.org/places/113260,Untitled,4.5,49.5,road
113261,https://pleiades.stoa.org/places/113261,Untitled,4.5,49.5,road
113262,https://pleiades.stoa.org/places/113262,Untitled,3.9100392999999998,49.79500173333333,road
113263,https://pleiades.stoa.org/places/113263,Untitled,4.5,49.5,road
113264,https://pleiades.stoa.org/places/113264,Untitled,4.5,49.5,road
113265,https://pleiades.stoa.org/places/113265,Untitled,4.5,49.5,road
113266,https://pleiades.stoa.org/places/113266,Untitled,4.5,49.5,road
113267,https://pleiades.stoa.org/places/113267,Untitled,4.5,49.5,road
113269,https://pleiades.stoa.org/places/113269,Untitled,3.234282,50.175165,road
113270,https://pleiades.stoa.org/places/113270,Untitled,3.234282,50.175165,road
113271,https://pleiades.stoa.org/places/113271,Untitled,4.5,49.5,road
113272,https://pleiades.stoa.org/places/113272,Untitled,4.5,49.5,road
113273,https://pleiades.stoa.org/places/113273,Untitled,4.5,49.5,road
113274,https://pleiades.stoa.org/places/113274,Untitled,2.9448570000000003,50.50858575,road
113275,https://pleiades.stoa.org/places/113275,Untitled,4.5,49.5,road
113276,https://pleiades.stoa.org/places/113276,Untitled,4.5,49.5,road
113277,https://pleiades.stoa.org/places/113277,Untitled,4.5,49.5,road
113278,https://pleiades.stoa.org/places/113278,Untitled,4.5,49.5,road
113279,https://pleiades.stoa.org/places/113279,Untitled,4.5,49.5,road
113280,https://pleiades.stoa.org/places/113280,Untitled,4.5,49.5,road
113281,https://pleiades.stoa.org/places/113281,Untitled,4.5,49.5,road
113282,https://pleiades.stoa.org/places/113282,Untitled,4.0332025,49.25395249999999,road
113283,https://pleiades.stoa.org/places/113283,Untitled,4.5,49.5,road
113284,https://pleiades.stoa.org/places/113284,Untitled,4.5,49.5,road
113285,https://pleiades.stoa.org/places/113285,Untitled,4.5,49.5,road
113286,https://pleiades.stoa.org/places/113286,Untitled,4.5,49.5,road
113287,https://pleiades.stoa.org/places/113287,Untitled,4.5,49.5,road
