pid,uri,title,longitude,latitude,description
20497,https://pleiades.stoa.org/places/20497,[Iutae],7.5,57.5,"An ancient place, cited: BAtlas 2 E2 [Iutae]"
20501,https://pleiades.stoa.org/places/20501,Kablow,13.720845,52.295946,"An ancient place, cited: BAtlas 2 F3 Kablow"
20503,https://pleiades.stoa.org/places/20503,Känne,18.492355,57.176286,"An ancient place, cited: BAtlas 2 G2 Känne"
20505,https://pleiades.stoa.org/places/20505,Karbones,22.5,57.5,"An ancient place, cited: BAtlas 2 H2 Karbones"
20506,https://pleiades.stoa.org/places/20506,Karlino,15.877106,54.033665,"An ancient place, cited: BAtlas 2 G3 Karlino"
20508,https://pleiades.stoa.org/places/20508,Kaukoi,-7.5,52.5,"An ancient place, cited: BAtlas 2 B3 Kaukoi"
20509,https://pleiades.stoa.org/places/20509,Kirkebakkegård,12.276978,55.845907,"An ancient place, cited: BAtlas 2 F2 Kirkebakkegård"
20510,https://pleiades.stoa.org/places/20510,Klein Köris,13.688226,52.1677,"An ancient place, cited: BAtlas 2 F3 Klein Köris"
20511,https://pleiades.stoa.org/places/20511,Konarzew,19.483389,52.027884,"An ancient place, cited: BAtlas 2 G3 Konarzew"
20512,https://pleiades.stoa.org/places/20512,Kotelnikovo,22.028049,55.038499,"An ancient place, cited: BAtlas 2 H3 Kotelnikovo"
20513,https://pleiades.stoa.org/places/20513,Kovrovo,20.402099,54.909338,"An ancient place, cited: BAtlas 2 H3 Kovrovo"
20515,https://pleiades.stoa.org/places/20515,Krusza Zamkowa,18.25851,52.739998,"An ancient place, cited: BAtlas 2 G3 Krusza Zamkowa"
20516,https://pleiades.stoa.org/places/20516,Kungsgården,16.948133,61.36389,"An ancient place, cited: BAtlas 2 G1 Kungsgården"
20517,https://pleiades.stoa.org/places/20517,Kurmaičiai,21.272774,55.938931,"An ancient place, cited: BAtlas 2 H2 Kurmaičiai"
20519,https://pleiades.stoa.org/places/20519,Lachmirowice,18.319454,52.60422,"An ancient place, cited: BAtlas 2 G3 Lachmirowice"
20521,https://pleiades.stoa.org/places/20521,Łęg Piekarski,18.519463,51.893773,"An ancient place, cited: BAtlas 2 G3 Łęg Piekarski"
20522,https://pleiades.stoa.org/places/20522,Leśno,17.699655,53.949803,"An ancient place, cited: BAtlas 2 G3 Leśno"
20525,https://pleiades.stoa.org/places/20525,Lilla Jored,11.496412,58.435623,"An ancient place, cited: BAtlas 2 F2 Lilla Jored"
20526,https://pleiades.stoa.org/places/20526,Lilla Sojvide,18.500164,57.483328,"An ancient place, cited: BAtlas 2 G2 Lilla Sojvide"
20530,https://pleiades.stoa.org/places/20530,Łubiana,17.870365,54.111638,"An ancient place, cited: BAtlas 2 G3 Łubiana"
20531,https://pleiades.stoa.org/places/20531,Lubieszewo,17.146497,54.0552715,"An ancient place, cited: BAtlas 2 G3 Lubieszewo"
20533,https://pleiades.stoa.org/places/20533,Lugii,16.7764,51.527063,"An ancient place, cited: BAtlas 2 G3 Lugii"
20535,https://pleiades.stoa.org/places/20535,Lunde,6.76825,58.079711,"An ancient place, cited: BAtlas 2 E2 Lunde"
20539,https://pleiades.stoa.org/places/20539,‘Magnatai’,-7.5,52.5,"An ancient place, cited: BAtlas 2 B3 ‘Magnatai’"
20540,https://pleiades.stoa.org/places/20540,Malbork-Wielbark,19.017787,54.015643,"An ancient place, cited: BAtlas 2 G3 Malbork-Wielbark"
20550,https://pleiades.stoa.org/places/20550,Morshanskoe,20.510445,54.856848,"An ancient place, cited: BAtlas 2 H3 Morshanskoe"
20553,https://pleiades.stoa.org/places/20553,Mrzezino,18.429722,54.652959,"An ancient place, cited: BAtlas 2 G3 Mrzezino"
20556,https://pleiades.stoa.org/places/20556,Netta,22.896383,53.784191,"An ancient place, cited: BAtlas 2 H3 Netta"
20560,https://pleiades.stoa.org/places/20560,Nyrup,11.605386,55.933077,"An ancient place, cited: BAtlas 2 F2 Nyrup"
20565,https://pleiades.stoa.org/places/20565,Öremölla,13.572631,55.418396,"An ancient place, cited: BAtlas 2 F2 Öremölla"
20566,https://pleiades.stoa.org/places/20566,Osioi?,22.5,57.5,"An ancient place, cited: BAtlas 2 H2 Osioi?"
20568,https://pleiades.stoa.org/places/20568,Ouenniknioi,-7.5,52.5,"An ancient place, cited: BAtlas 2 B3 Ouenniknioi"
20572,https://pleiades.stoa.org/places/20572,Øvre Stabu,10.843991,60.66076,"An ancient place, cited: BAtlas 2 F1 Øvre Stabu"
20576,https://pleiades.stoa.org/places/20576,Piła,16.7390964,53.1493864,"An ancient place, cited: BAtlas 2 G3 Piła"
20578,https://pleiades.stoa.org/places/20578,Povarovka,20.009176,54.835867,"An ancient place, cited: BAtlas 2 H3 Povarovka"
20580,https://pleiades.stoa.org/places/20580,Pruszcz Gdański,18.636168,54.26215,"An ancient place, cited: BAtlas 2 G3 Pruszcz Gdański"
20586,https://pleiades.stoa.org/places/20586,Roudon (river),24.37511417148308,54.19352331311013,"An ancient place, cited: BAtlas 2 H2 Roudon fl."
20593,https://pleiades.stoa.org/places/20593,Sargenai,23.885832,54.948346,"An ancient place, cited: BAtlas 2 H2 Sargenai"
20599,https://pleiades.stoa.org/places/20599,Sejlflod,10.100638,56.988693,"An ancient place, cited: BAtlas 2 F2 Sejlflod"
20603,https://pleiades.stoa.org/places/20603,Sindarve,18.387163,57.202552,"An ancient place, cited: BAtlas 2 G2 Sindarve"
20605,https://pleiades.stoa.org/places/20605,Skedemosse,16.7606,56.8398,"An ancient place, cited: BAtlas 2 G2 Skedemosse"
20608,https://pleiades.stoa.org/places/20608,Smørenge,14.859981,55.075621,"An ancient place, cited: BAtlas 2 F2 Smørenge"
20609,https://pleiades.stoa.org/places/20609,Snartemo,7.214408,58.333635,"An ancient place, cited: BAtlas 2 E2 Snartemo"
20610,https://pleiades.stoa.org/places/20610,Soldatergård,15.07536,54.994366,"An ancient place, cited: BAtlas 2 G2 Soldatergård"
20611,https://pleiades.stoa.org/places/20611,Sörby-Störlinge,16.642655,56.745534,"An ancient place, cited: BAtlas 2 G2 Sörby-Störlinge"
20612,https://pleiades.stoa.org/places/20612,Sorte Muld,15.077045,55.099878,"An ancient place, cited: BAtlas 2 G2 Sorte Muld"
20613,https://pleiades.stoa.org/places/20613,Soudinoi,22.5,52.5,"An ancient place, cited: BAtlas 2 H3 Soudinoi"
20615,https://pleiades.stoa.org/places/20615,Store Kongshøj,8.723688,56.796973,"An ancient place, cited: BAtlas 2 E2 Store Kongshøj"
20616,https://pleiades.stoa.org/places/20616,Store-Dal,11.002715,59.25387,"An ancient place, cited: BAtlas 2 F2 Store-Dal"
20620,https://pleiades.stoa.org/places/20620,Szwajcaria,22.947561,54.137798,"An ancient place, cited: BAtlas 2 H3 Szwajcaria"
