pid,uri,title,longitude,latitude,minimum,maximum
39320,https://pleiades.stoa.org/places/39320,Canauna (region),42.291213406886556,18.389190839176003,9310.0,9310.0
39322,https://pleiades.stoa.org/places/39322,Cardava,44.705389,16.743842,10000.0,10000.0
39326,https://pleiades.stoa.org/places/39326,Casani/Gasani/Kassanitai,43.67000224585194,15.665567433848553,9310.0,9310.0
39327,https://pleiades.stoa.org/places/39327,Cerbani,45.565999644202265,13.902822777995828,9310.0,9310.0
39328,https://pleiades.stoa.org/places/39328,Chardaleon,40.52728994340584,20.711635897450005,9310.0,9310.0
39329,https://pleiades.stoa.org/places/39329,C(h)armei,44.980674813283656,16.77516632582897,9310.0,9310.0
39333,https://pleiades.stoa.org/places/39333,Dacharenoi,43.97591949197233,17.89562028954487,9310.0,9310.0
39334,https://pleiades.stoa.org/places/39334,Debai,42.08628610443923,18.07694590187154,9310.0,9310.0
39336,https://pleiades.stoa.org/places/39336,Dela,46.254233,14.104997,10000.0,10000.0
39343,https://pleiades.stoa.org/places/39343,Ethraui,43.58695290757988,17.006801751362506,9310.0,9310.0
39353,https://pleiades.stoa.org/places/39353,Ioula,48.568626,16.249392,10000.0,10000.0
39355,https://pleiades.stoa.org/places/39355,Kane,48.23595376156997,13.992228265045917,9310.0,9310.0
39356,https://pleiades.stoa.org/places/39356,Karbai,43.474771187498845,14.772873612131956,9310.0,9310.0
39359,https://pleiades.stoa.org/places/39359,Kebranitai,44.068479977728416,14.490589148372521,9310.0,9310.0
39361,https://pleiades.stoa.org/places/39361,Kinnamomophoros Chora,49.35444424710613,11.035640090145723,9310.0,9310.0
39363,https://pleiades.stoa.org/places/39363,Koloe,39.552787,14.709112,10000.0,10000.0
39365,https://pleiades.stoa.org/places/39365,Labaetia,44.558041,16.5545,10000.0,10000.0
39366,https://pleiades.stoa.org/places/39366,Lathinat,47.4289616667184,14.440188695175452,9310.0,9310.0
39369,https://pleiades.stoa.org/places/39369,Lexianae,47.22303019928653,14.92818231789456,9310.0,9310.0
39370,https://pleiades.stoa.org/places/39370,Libanophoros Chora,53.40736604984976,17.41088595160069,9310.0,9310.0
39371,https://pleiades.stoa.org/places/39371,Lysanitae,44.171064609959245,15.22996925139778,9310.0,9310.0
39373,https://pleiades.stoa.org/places/39373,Maipha,47.730183,14.555811,10000.0,10000.0
39377,https://pleiades.stoa.org/places/39377,Mamaeum Litus,42.78178834332744,17.207480969011147,9310.0,9310.0
39381,https://pleiades.stoa.org/places/39381,Maritha (mountain),46.10944425579193,20.94139530986622,9310.0,9310.0
39382,https://pleiades.stoa.org/places/39382,Marma,42.34894,17.326869,10000.0,10000.0
39383,https://pleiades.stoa.org/places/39383,Meda,43.693538,13.615017,10000.0,10000.0
39384,https://pleiades.stoa.org/places/39384,Melan (mountain),46.56320631754457,13.763365704904263,9310.0,9310.0
39385,https://pleiades.stoa.org/places/39385,Mesala,45.440538,13.147317,10000.0,10000.0
39387,https://pleiades.stoa.org/places/39387,Mosylon Emporion,48.605954,11.28743,10000.0,10000.0
39390,https://pleiades.stoa.org/places/39390,Mouza Emporion,43.421475,13.261275,10000.0,10000.0
39392,https://pleiades.stoa.org/places/39392,Nagara,44.34508038146405,17.216262707195984,9310.0,9310.0
39393,https://pleiades.stoa.org/places/39393,Nagia,45.638293,15.430638,10000.0,10000.0
39394,https://pleiades.stoa.org/places/39394,Nascus,44.651994,16.558214,10000.0,10000.0
39396,https://pleiades.stoa.org/places/39396,Neogilla,52.785062,16.730687,10000.0,10000.0
39397,https://pleiades.stoa.org/places/39397,Nestus,44.73158,16.561019,10000.0,10000.0
39398,https://pleiades.stoa.org/places/39398,Nossa,45.325396,15.134369,10000.0,10000.0
39401,https://pleiades.stoa.org/places/39401,Odanda,43.109713112404215,15.253890625076304,9310.0,9310.0
39407,https://pleiades.stoa.org/places/39407,Phoda,43.53849,17.760701,10000.0,10000.0
39412,https://pleiades.stoa.org/places/39412,Raida,44.414857,14.316682,10000.0,10000.0
39413,https://pleiades.stoa.org/places/39413,Rhadamaei,44.90099215436161,13.530547656988151,9310.0,9310.0
39417,https://pleiades.stoa.org/places/39417,Saba,44.226264112353114,14.45140889796411,9310.0,9310.0
39419,https://pleiades.stoa.org/places/39419,Sachalites Sinus,52.2093989,15.9270015,1800.0,1800.0
39421,https://pleiades.stoa.org/places/39421,Sakchenoi,44.174302640431854,13.662184704509649,9310.0,9310.0
39422,https://pleiades.stoa.org/places/39422,Sammaei,44.63993915934264,14.040009590173334,9310.0,9310.0
39424,https://pleiades.stoa.org/places/39424,Saraka,43.925998,13.434482,10000.0,10000.0
39425,https://pleiades.stoa.org/places/39425,Sarouon,46.394374,14.785877,10000.0,10000.0
39427,https://pleiades.stoa.org/places/39427,Smyrnophoros Chora,43.25155601892553,11.3280466663749,9310.0,9310.0
39432,https://pleiades.stoa.org/places/39432,Thomala,43.164874,19.91721,10000.0,10000.0
39433,https://pleiades.stoa.org/places/39433,T(h)onabaei,47.05249067906581,15.152450102130603,9310.0,9310.0
39435,https://pleiades.stoa.org/places/39435,Trogodytice,39.00159862811528,15.255350797625091,9310.0,9310.0
39440,https://pleiades.stoa.org/places/39440,Zamareni,44.26659725652376,15.862561688986416,9310.0,9310.0
49835,https://pleiades.stoa.org/places/49835,Abour,79.641886,10.99906,10000.0,10000.0
49836,https://pleiades.stoa.org/places/49836,Adam,78.759421,20.766373,10000.0,10000.0
49841,https://pleiades.stoa.org/places/49841,Aigidioi,73.8474976008872,15.567358123213308,9310.0,9310.0
49842,https://pleiades.stoa.org/places/49842,Aigidion Nesos,73.275844563487,15.431656329897196,9310.0,9310.0
49843,https://pleiades.stoa.org/places/49843,Aioi,76.85062411335839,8.717024137559111,9310.0,9310.0
49845,https://pleiades.stoa.org/places/49845,Akhilandapuram,77.505862,10.88677,10000.0,10000.0
49846,https://pleiades.stoa.org/places/49846,Akkenpalle,78.773453,17.767529,10000.0,10000.0
49847,https://pleiades.stoa.org/places/49847,Akkialur,75.060545,15.271778,10000.0,10000.0
49849,https://pleiades.stoa.org/places/49849,Akour,79.084495,9.929814,10000.0,10000.0
49850,https://pleiades.stoa.org/places/49850,Alagankulam,78.992932,9.362056,10000.0,10000.0
49855,https://pleiades.stoa.org/places/49855,Amaravati,80.1347,16.385871,10000.0,10000.0
49856,https://pleiades.stoa.org/places/49856,Ampitiya,81.431589,6.790699,10000.0,10000.0
49858,https://pleiades.stoa.org/places/49858,Andarae,81.45822730294078,16.82018311971633,9310.0,9310.0
49868,https://pleiades.stoa.org/places/49868,Arasankuppam,80.115092,12.737908,10000.0,10000.0
49871,https://pleiades.stoa.org/places/49871,Argarou,78.67343905322404,11.097740890827586,9310.0,9310.0
49873,https://pleiades.stoa.org/places/49873,Argyra Chora,93.34122475988259,20.39820598855183,9310.0,9310.0
49874,https://pleiades.stoa.org/places/49874,Ariake Sadenon,74.49926834869882,18.143053494109164,9310.0,9310.0
49878,https://pleiades.stoa.org/places/49878,Arouaia M.,78.95764465550293,14.078904512618754,9310.0,9310.0
49879,https://pleiades.stoa.org/places/49879,Arouarnoi,79.82866687152996,12.597511428219192,9310.0,9310.0
49883,https://pleiades.stoa.org/places/49883,Athirala,79.030061,14.020422,10000.0,10000.0
49884,https://pleiades.stoa.org/places/49884,Attikuli,79.972546,8.897691,10000.0,10000.0
49909,https://pleiades.stoa.org/places/49909,Batoi,79.49692728269049,10.904530231788655,9310.0,9310.0
49911,https://pleiades.stoa.org/places/49911,Bazakata? (island),93.38353411481158,19.215633731471772,9310.0,9310.0
49912,https://pleiades.stoa.org/places/49912,Benagouron,81.004404,16.642933,10000.0,10000.0
49916,https://pleiades.stoa.org/places/49916,Bhagavanpavam,84.168049,18.538293,10000.0,10000.0
49917,https://pleiades.stoa.org/places/49917,Bhatkuli,77.507825,15.81095,10000.0,10000.0
49921,https://pleiades.stoa.org/places/49921,Bishopsdown,76.698626,11.309907,10000.0,10000.0
49922,https://pleiades.stoa.org/places/49922,Bittigo M.,76.81426578787415,10.567355478899778,9310.0,9310.0
49926,https://pleiades.stoa.org/places/49926,Brahmagiri,76.772076,14.660387,10000.0,10000.0
49927,https://pleiades.stoa.org/places/49927,Budinathan,77.25846,10.370429,10000.0,10000.0
49933,https://pleiades.stoa.org/places/49933,Calamina,80.170138,12.846573,10000.0,10000.0
49934,https://pleiades.stoa.org/places/49934,Calingae,84.73048497491246,19.54520400098917,9310.0,9310.0
49941,https://pleiades.stoa.org/places/49941,Chandravalli,76.447865,14.042306,10000.0,10000.0
49944,https://pleiades.stoa.org/places/49944,Chavadipalaiyam,77.68957,11.100144,10000.0,10000.0
49947,https://pleiades.stoa.org/places/49947,Choromandae,79.47637078700315,12.678589508107486,9310.0,9310.0
49953,https://pleiades.stoa.org/places/49953,Cottonara,76.88894218680161,9.004191350292476,9310.0,9310.0
49956,https://pleiades.stoa.org/places/49956,Dachinabades,78.31466548337144,19.167558683363467,9310.0,9310.0
49958,https://pleiades.stoa.org/places/49958,Dandagula/Paloura,83.921094,18.244258,10000.0,10000.0
49961,https://pleiades.stoa.org/places/49961,Desarene,85.48611060294839,20.455815579010682,9310.0,9310.0
49965,https://pleiades.stoa.org/places/49965,Divae,72.72514973784713,10.983940320478295,9310.0,9310.0
49972,https://pleiades.stoa.org/places/49972,Elankoros,77.265021,8.19228,10000.0,10000.0
49978,https://pleiades.stoa.org/places/49978,Eyyal,76.275437,10.490381,10000.0,10000.0
49990,https://pleiades.stoa.org/places/49990,Gondaloi,74.94796574496029,16.048306644084846,9310.0,9310.0
49991,https://pleiades.stoa.org/places/49991,Gootiparti,79.386282,16.96695,10000.0,10000.0
49992,https://pleiades.stoa.org/places/49992,Gumada,83.407061,17.900337,10000.0,10000.0
49999,https://pleiades.stoa.org/places/49999,Hippokoura,74.35932,16.569362,10000.0,10000.0
50000,https://pleiades.stoa.org/places/50000,Hippuri Pr.,79.866667,8.533333,2000.0,2000.0
50004,https://pleiades.stoa.org/places/50004,India,79.53326050324434,20.63673796159033,9310.0,9310.0
50020,https://pleiades.stoa.org/places/50020,Kaliour/Orthoura,78.679619,10.687267,10000.0,10000.0
50021,https://pleiades.stoa.org/places/50021,Kaliyamputhur,77.45179,10.323111,10000.0,10000.0
50022,https://pleiades.stoa.org/places/50022,Kallakinar,77.334093,10.811697,10000.0,10000.0
50025,https://pleiades.stoa.org/places/50025,Kalligeris,76.152406,13.495276,10000.0,10000.0
50035,https://pleiades.stoa.org/places/50035,Kannagara?,81.06276,16.315208,10000.0,10000.0
50040,https://pleiades.stoa.org/places/50040,Kapuhenvala,80.273603,8.022877,10000.0,10000.0
50041,https://pleiades.stoa.org/places/50041,Kareoi,78.27056168428261,9.156823970428551,9310.0,9310.0
50042,https://pleiades.stoa.org/places/50042,Karige,79.690518,11.432137,10000.0,10000.0
50043,https://pleiades.stoa.org/places/50043,Karivalamvandanallur,77.578469,9.149927,10000.0,10000.0
50047,https://pleiades.stoa.org/places/50047,Karukkakkuriochi,79.166017,10.329253,10000.0,10000.0
50051,https://pleiades.stoa.org/places/50051,Kathanganni,77.427325,10.686144,10000.0,10000.0
50052,https://pleiades.stoa.org/places/50052,Katriyal,75.78982,16.64652,10000.0,10000.0
50055,https://pleiades.stoa.org/places/50055,Kerobothros,76.25058185317283,10.90479485224958,9310.0,9310.0
50060,https://pleiades.stoa.org/places/50060,Koddoura,80.930118,16.259169,10000.0,10000.0
50064,https://pleiades.stoa.org/places/50064,Kolchoi,78.01884,8.612651,10000.0,10000.0
50070,https://pleiades.stoa.org/places/50070,Koneripatty,77.829432,11.542717,10000.0,10000.0
50071,https://pleiades.stoa.org/places/50071,Koniakoi,77.67640181912101,8.281588785704466,9310.0,9310.0
50078,https://pleiades.stoa.org/places/50078,Kotpad,83.301502,17.917534,10000.0,10000.0
50081,https://pleiades.stoa.org/places/50081,Kottis,79.904146,15.074163,10000.0,10000.0
50083,https://pleiades.stoa.org/places/50083,Kourelloura,77.170952,11.067143,10000.0,10000.0
50086,https://pleiades.stoa.org/places/50086,Kulattupalaiyam,77.89183,10.917509,10000.0,10000.0
50092,https://pleiades.stoa.org/places/50092,Limyrike,75.92164718452868,11.071631803796759,9310.0,9310.0
50093,https://pleiades.stoa.org/places/50093,Lingarajupalem,82.733563,17.398822,10000.0,10000.0
50099,https://pleiades.stoa.org/places/50099,Magaris,85.994719,20.378459,10000.0,10000.0
50105,https://pleiades.stoa.org/places/50105,Malaia (mountain),80.71591239074576,6.887936236789827,9310.0,9310.0
50110,https://pleiades.stoa.org/places/50110,Mallayapalam,79.858189,15.825602,10000.0,10000.0
50123,https://pleiades.stoa.org/places/50123,Masalia,80.20345089471738,16.11050054235501,9310.0,9310.0
50128,https://pleiades.stoa.org/places/50128,Melange,79.991827,14.159117,10000.0,10000.0
50140,https://pleiades.stoa.org/places/50140,Modubae,78.45215174242466,17.024297320346573,9310.0,9310.0
50141,https://pleiades.stoa.org/places/50141,Monoglosson Emporion,70.246746,21.020751,10000.0,10000.0
50152,https://pleiades.stoa.org/places/50152,Nagara,70.613902,21.603402,10000.0,10000.0
50163,https://pleiades.stoa.org/places/50163,Nastullapur,78.838349,18.165296,10000.0,10000.0
50165,https://pleiades.stoa.org/places/50165,Nelkynda,76.558846,9.272624,10000.0,10000.0
50167,https://pleiades.stoa.org/places/50167,Nevasa,74.894449,19.62041,10000.0,10000.0
