pid,uri,title,longitude,latitude,without_zotero
20419,https://pleiades.stoa.org/places/20419,Britannia/Albion (island),-2.422,53.826,"20419:loc:location-of-britannia-albion:http://toolserver.org/~geohack/geohack.php?pagename=Great_Britain&params=53.826_N_2.422_W_source:dewiki_scale:5000000>>GeoHack - Great Britain|20419:name:britannia:http://latin.packhum.org/loc/978/1/183/1715-1724,2097-2108,2170-2179>>Plin. HN (Mayhoff: PHI) 2.186.4, 2.187.2, 2.187.4|20419:name:albion:http://latin.packhum.org/loc/978/1/309/252-260>>Plin. HN (Mayhoff: PHI) 4.102.4"
20420,https://pleiades.stoa.org/places/20420,Britannicum Mare,-2.23846985,49.989220200000005,20420:loc:osm-location-of-english-channel:https://www.openstreetmap.org/browse/way/1180740942>Way 1180740942>osm:way=1180740942
20429,https://pleiades.stoa.org/places/20429,Chersonesos Kimbrike,9.25,56.0,20429:>>Strabo 7.292|20429:>>RE Chersonesos Kimbrike 12
20430,https://pleiades.stoa.org/places/20430,Chesinos (river),24.137134352399137,56.94950997700292,"20430:loc:location-of-daugava-river:http://www.openstreetmap.org/browse/way/69885572>Way 69885572>osm:way=69885572|20430:loc:location-of-daugava-river:http://books.google.com/books?id=DEsZ4J_thHUC&lpg=PA58&dq=chesinos&pg=PA58#v=onepage&q=chesinos&f=false>>Bliujien, A. 2011. Northern Gold: Amber in Lithuania (c. 100 to c. 1200). Leiden: Brill. p. 58. "
20431,https://pleiades.stoa.org/places/20431,Chronos (river),21.096891431549796,54.65344051381412,20431:loc:osm-location-of-pregolya-river:https://www.openstreetmap.org/browse/relation/2835046>Relation 2835046>osm:relation=2835046
20442,https://pleiades.stoa.org/places/20442,‘Dabrona’ (river),-8.882755812722865,51.8766510301913,20442:>>Ptol. 2.2.5|20442:loc:osm-location-of-modern-lee-river:https://www.openstreetmap.org/browse/relation/3658613>Relation 3658613>osm:relation=3658613
20451,https://pleiades.stoa.org/places/20451,Dytikos Okeanos,-7.5,57.5,20451:>>Ptol. 7.5.2|20451:>>Ptol. 8.13.2
20454,https://pleiades.stoa.org/places/20454,Eketorp,16.486173035069264,56.29554627790624,20454:loc:osm-location-of-eketorp-fortress:https://www.openstreetmap.org/browse/way/71330866>Way 71330866>osm:way=71330866
20456,https://pleiades.stoa.org/places/20456,Erdinoi,-7.5,52.5,20456:>>Ptol. 2.2.4
20464,https://pleiades.stoa.org/places/20464,Galindai,22.5,52.5,20464:>>Ptol. 3.5.9
20466,https://pleiades.stoa.org/places/20466,Ganganoi,-7.5,52.5,20466:>>Ptol. 2.2.4
20468,https://pleiades.stoa.org/places/20468,Germania,7.5,52.5,"20468:name:germania:>>RESuppl. 3 Germani 3|20468:name:germania:>>RGermAlt 7, 357-62, 370-72, 374-89|20468:name:barbaricum:>>Sarnowski 1991"
20469,https://pleiades.stoa.org/places/20469,Germanicum Mare,3.0,56.0,20469:loc:geohack-location-of-germanicum-mare:http://toolserver.org/~geohack/geohack.php?pagename=North_Sea&params=56_N_03_E_scale:5000000_type:waterbody&title=North+Sea>>GeoHack - North Sea
20470,https://pleiades.stoa.org/places/20470,Gödåker,17.672818,60.052879,"20470:>>Lund Hansen 1987, 443"
20483,https://pleiades.stoa.org/places/20483,Hedegård,9.304501,55.953651,20483:>>Madsen 1992
20484,https://pleiades.stoa.org/places/20484,Helgö,17.6783195,59.278707,"20484:loc:dare-location:http://francia.ahlfeldt.se/imperium.php>>Johan Åhlfeldt, Digital Atlas of the Roman Empire, 2012."
20487,https://pleiades.stoa.org/places/20487,Hibernia,-8.599475027423367,53.04477149892999,"20487:http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0064:id=ierne-geo>>Smith 1854 (Perseus), IERNE|20487:http://latin.packhum.org/loc/1351/1/23/189-197,275-283,866-874>>Tac. Agr. 24.1.3, 24.1.5, 24.3.5|20487:http://latin.packhum.org/loc/1351/5/451/302-310>>Tac. Ann. 12.32.5|20487:name:hibernia:http://latin.packhum.org/loc/448/1/89/1511-1515#89>>Caes. BGall. 5.13.2.3|20487:name:name.2013-08-08.4658144546:http://www.geonames.org/2963597/ireland.html>>GeoNames 2963597"
20488,https://pleiades.stoa.org/places/20488,Hohendorf,13.731282,54.02678,"20488:>>Eggers 1951, 105 (no. 678)|20488:>>Laser 1982, 53"
20493,https://pleiades.stoa.org/places/20493,Iouernikos Okeanos,-5.0000001,53.6666671,20493:loc:representative-location-for-the-irish-sea:http://www.openstreetmap.org/browse/node/305639366>Node 305639366>osm:node=305639366|20493:name:name.2013-08-08.0217124923:http://www.geonames.org/6640368/irish-sea.html>>GeoNames 6640368
