created,description,details,provenance,title,uri,id,place_id,accuracy_assessment_uri,accuracy_radius,archaeological_remains,association_certainty,geometry_wkt,year_after_which,year_before_which,location_precision
2025-04-04T00:50:36Z,Polygon traced in QGIS from raster image of BAtlas Map 51 that was georegistered to the original projection by the Ancient World Mapping Center in 2002.,,Pleiades,BAtlas Polygon Location,https://pleiades.stoa.org/places/501579/batlas-polygon-location,batlas-polygon-location,501579,https://pleiades.stoa.org/features/metadata/awmc-batlas-data-1-500-000-scale,930.0,notapplicable,less-certain,"POLYGON ((23.56486741073473 40.94891819114291, 23.563023739837945 40.95148330322116, 23.56080516666354 40.954869360869935, 23.559781364259248 40.95750201953428, 23.559362957797326 40.960112198649426, 23.55954533228539 40.96378244228398, 23.559837412440196 40.967456166429244, 23.561103010714977 40.97141054818387, 23.563502351226838 40.97473448907087, 23.5660893597709 40.97764788344737, 23.569855942162786 40.98009872732065, 23.57410968009139 40.98268971128636, 23.578761444652727 40.98504319391225, 23.583676488933577 40.98761295194562, 23.58778262562623 40.98990725067832, 23.592001062452706 40.992163266007545, 23.59784542200088 40.994844762736804, 23.601963867476172 40.996930682723196, 23.605316033069766 40.99795148137542, 23.611588484914037 40.9998543823326, 23.618434827533406 41.001316696930395, 23.624681431892004 41.00167728285472, 23.629583181151663 41.001496147390014, 23.635495037301858 41.00092962797526, 23.640450387750807 40.99975027534093, 23.64514459575773 40.99831280318029, 23.649447801801617 40.99698801511204, 23.655316123259013 40.9951698758751, 23.6603588653232 40.993367725965406, 23.665600800522974 40.99194622473235, 23.6719220793176 40.990890636815, 23.67810730140797 40.98928921198586, 23.684263833285417 40.98718689346534, 23.689601441521038 40.984976036898075, 23.6946840285278 40.98342341534946, 23.702077040266698 40.980774758756084, 23.709021818021707 40.97827861516977, 23.71545923993555 40.9760165583288, 23.720628050936007 40.973840799494404, 23.726498662095747 40.971894134283296, 23.732636628310996 40.97008011618072, 23.738624889822194 40.96796980654568, 23.743709209371485 40.966331768213365, 23.749538694362577 40.96409121593115, 23.756032347966432 40.96174527544434, 23.760645848134338 40.959634417929635, 23.766269809140883 40.95709543046602, 23.771421268527224 40.95412576570583, 23.7762539618196 40.95093823930378, 23.77908225323238 40.94827405442699, 23.781801487209112 40.944524025831754, 23.782817864834968 40.94184773870665, 23.783604163397765 40.93937282284501, 23.783622901060852 40.93687519236332, 23.782935408957346 40.934231751861425, 23.78158076704006 40.932817640537024, 23.77819674114947 40.930302451947846, 23.77350721905702 40.92862275833337, 23.769112438819715 40.92761780375352, 23.763213210142812 40.92598495005162, 23.758643570761617 40.925182536921, 23.755931103406894 40.924560306458815, 23.75083812690632 40.924324845532965, 23.745148783071887 40.92394637035832, 23.739724278222084 40.9227011697558, 23.734716725136597 40.92188459432683, 23.729007701594064 40.92083848228113, 23.72275953974781 40.919609254801294, 23.717270138077566 40.91856914083197, 23.711943139793302 40.91757529769957, 23.705752631484913 40.91630518331869, 23.699991996414226 40.91521431906106, 23.695358169353526 40.91461544100825, 23.68907606395574 40.91404941229116, 23.68415961710927 40.913607987591426, 23.677689019682855 40.91349355652765, 23.671709412619464 40.91343542227851, 23.665613569639756 40.91349830488827, 23.660054585600864 40.91378554478871, 23.65382017462853 40.914384804458166, 23.648076602035502 40.915040495627835, 23.640810893835432 40.91643996221266, 23.635546772210596 40.917359659706754, 23.630562004767917 40.91920382859381, 23.624809698332434 40.92102393718777, 23.618559317714027 40.922911531415835, 23.61369222806169 40.92459206839439, 23.608758791782932 40.92647852478672, 23.604626260378478 40.927765204998835, 23.5999205867512 40.9294918389639, 23.59375104316691 40.93188027892248, 23.588389270230472 40.93354422818411, 23.584562018646988 40.9352561683973, 23.580604453785618 40.93733864666935, 23.5782316093529 40.938554810877235, 23.57338284376243 40.94085882337117, 23.570468430922592 40.942932210596005, 23.56486741073473 40.94891819114291))",,,precise
2010-06-24T10:45:38Z,,,Barrington Atlas: BAtlas 51 C2,Barrington Atlas location,https://pleiades.stoa.org/places/504345/batlas-location,batlas-location,504345,,,unknown,certain,"POLYGON ((24 41, 24.5 41, 24.5 41.5, 24 41.5, 24 41))",-550,300,rough
2010-06-24T10:45:37Z,,,Barrington Atlas: BAtlas 51 B3,Barrington Atlas location,https://pleiades.stoa.org/places/504344/batlas-location,batlas-location,504344,,,unknown,certain,"POLYGON ((23.5 40.5, 24 40.5, 24 41, 23.5 41, 23.5 40.5))",-550,300,rough
2010-06-24T10:45:36Z,,,Barrington Atlas: BAtlas 51 B3,Barrington Atlas location,https://pleiades.stoa.org/places/504343/batlas-location,batlas-location,504343,,,unknown,certain,"POLYGON ((23.5 40.5, 24 40.5, 24 41, 23.5 41, 23.5 40.5))",-550,300,rough
2010-06-24T10:45:39Z,,,Barrington Atlas: BAtlas 51 C3,Barrington Atlas location,https://pleiades.stoa.org/places/504346/batlas-location,batlas-location,504346,,,unknown,certain,"POLYGON ((24 40.5, 24.5 40.5, 24.5 41, 24 41, 24 40.5))",-550,300,rough
2010-09-23T01:03:11Z,,,Barrington Atlas: BAtlas 5 E2 Tyndis fl.,Barrington Atlas location,https://pleiades.stoa.org/places/50313/batlas-location,batlas-location,50313,,,unknown,certain,"POLYGON ((80 20, 85 20, 85 25, 80 25, 80 20))",-30,300,rough
2010-09-23T01:03:13Z,,,Barrington Atlas: BAtlas 5 D4 Tynnas fl.,Barrington Atlas location,https://pleiades.stoa.org/places/50314/batlas-location,batlas-location,50314,,,unknown,certain,"POLYGON ((75 10, 80 10, 80 15, 75 15, 75 10))",-30,300,rough
2010-09-23T01:02:11Z,,,Barrington Atlas: BAtlas 5 D5 Pyrron Oros,Barrington Atlas location,https://pleiades.stoa.org/places/50236/batlas-location,batlas-location,50236,,,unknown,certain,"POLYGON ((75 5, 80 5, 80 10, 75 10, 75 5))",-30,300,rough
2010-09-23T01:01:45Z,,,Barrington Atlas: BAtlas 5 C2 Papike Pr.,Barrington Atlas location,https://pleiades.stoa.org/places/50204/batlas-location,batlas-location,50204,,,unknown,certain,"POLYGON ((70 20, 75 20, 75 25, 70 25, 70 20))",-30,300,rough
2010-09-23T01:02:18Z,,,Barrington Atlas: BAtlas 5 G3 Saline? Ins.,Barrington Atlas location,https://pleiades.stoa.org/places/50252/batlas-location,batlas-location,50252,,,unknown,certain,"POLYGON ((90 15, 95 15, 95 20, 90 20, 90 15))",-30,300,rough
2010-09-23T01:02:26Z,,,Barrington Atlas: BAtlas 5 C3 Sesekreienai? Inss.,Barrington Atlas location,https://pleiades.stoa.org/places/50264/batlas-location,batlas-location,50264,,,unknown,certain,"POLYGON ((70 15, 75 15, 75 20, 70 20, 70 15))",-30,300,rough
2010-09-23T01:02:32Z,,,Barrington Atlas: BAtlas 5 D5 Solen fl.,Barrington Atlas location,https://pleiades.stoa.org/places/50275/batlas-location,batlas-location,50275,,,unknown,certain,"POLYGON ((75 5, 80 5, 80 10, 75 10, 75 5))",-30,300,rough
2010-06-24T10:45:49Z,,,Barrington Atlas: BAtlas 51 C2,Barrington Atlas location,https://pleiades.stoa.org/places/502078/batlas-location,batlas-location,502078,,,unknown,certain,"POLYGON ((24 41, 24.5 41, 24.5 41.5, 24 41.5, 24 41))",-30,640,rough
2010-06-24T10:45:48Z,,,Barrington Atlas: BAtlas 51 C2,Barrington Atlas location,https://pleiades.stoa.org/places/502077/batlas-location,batlas-location,502077,,,unknown,certain,"POLYGON ((24 41, 24.5 41, 24.5 41.5, 24 41.5, 24 41))",-30,640,rough
2010-06-24T10:36:31Z,,,Barrington Atlas: BAtlas 51 B2,Barrington Atlas location,https://pleiades.stoa.org/places/502835/batlas-location,batlas-location,502835,,,unknown,certain,"POLYGON ((23.5 41, 24 41, 24 41.5, 23.5 41.5, 23.5 41))",-30,640,rough
2010-06-24T10:36:40Z,,,Barrington Atlas: BAtlas 51 C3,Barrington Atlas location,https://pleiades.stoa.org/places/502839/batlas-location,batlas-location,502839,,,unknown,certain,"POLYGON ((24 40.5, 24.5 40.5, 24.5 41, 24 41, 24 40.5))",-30,640,rough
2010-06-24T10:36:30Z,,,Barrington Atlas: BAtlas 51 B2,Barrington Atlas location,https://pleiades.stoa.org/places/502834/batlas-location,batlas-location,502834,,,unknown,certain,"POLYGON ((23.5 41, 24 41, 24 41.5, 23.5 41.5, 23.5 41))",-30,640,rough
2010-06-24T10:36:28Z,,,Barrington Atlas: BAtlas 51 B2,Barrington Atlas location,https://pleiades.stoa.org/places/502833/batlas-location,batlas-location,502833,,,unknown,certain,"POLYGON ((23.5 41, 24 41, 24 41.5, 23.5 41.5, 23.5 41))",-30,640,rough
