key,term,definition,same_as,uri
certain,Certain,"All commentators are agreed that, in antiquity, a place was identified or located by the name or location of interest",,https://pleiades.stoa.org/vocabularies/association-certainty/certain
less-certain,Less certain,"Most commentators are at least relatively certain that, in antiquity, a place was identified or located by the name or location of interest.",,https://pleiades.stoa.org/vocabularies/association-certainty/less-certain
uncertain,Uncertain,"Commentators do not agree that, in antiquity, a place was identified or located by the name or location of interest.",,https://pleiades.stoa.org/vocabularies/association-certainty/uncertain
