key,term,definition,same_as,uri
unknown,Unknown,,,https://pleiades.stoa.org/vocabularies/arch-remains/unknown
none,None,,,https://pleiades.stoa.org/vocabularies/arch-remains/none
traces,Traces,,,https://pleiades.stoa.org/vocabularies/arch-remains/traces
substantive,Substantive,,,https://pleiades.stoa.org/vocabularies/arch-remains/substantive
restored,Restored,,,https://pleiades.stoa.org/vocabularies/arch-remains/restored
notvisible,Not visible,,,https://pleiades.stoa.org/vocabularies/arch-remains/notvisible
notapplicable,Not applicable,,,https://pleiades.stoa.org/vocabularies/arch-remains/notapplicable
