place_id,place_type
903458730,building
903458730,settlement-modern
903328167,temple-2
903224682,spring
903251933,findspot
903251933,archaeological-site
903510061,temple-2
902985,mountain
902993,settlement
902991,unknown
902990,settlement
902996,mountain
902996,monument
90291125,city-gate
90291126,unlocated
90291126,city-gate
902088536,fort-2
902113570,settlement
902113570,archaeological-site
902458924,tomb
902277617,castle
902282876,townhouse
902590390,cave
902590390,archaeological-site
905076845,city-wall
905663353,city-gate
905821112,unlocated
905821112,shrine
905314398,settlement
905314398,settlement-modern
905386158,island
905247,wall-2
979926376,settlement
979926376,archaeological-site
979775194,townhouse
979105048,townhouse
979483544,unlocated
979483544,vicus
979282841,temple-2
979282842,cemetery
979282842,archaeological-site
979501337,cultural-landscape
979588215,tomb
979588215,cemetery
979582397,tell
970074272,monastery
970074272,fishpond
970074272,archaeological-site
970074272,findspot
97074052,building
97074052,garden-hortus
97074052,architecturalcomplex
970740488,fort-2
970142378,production
970879216,settlement
970563462,church-2
970549390,city-gate
977960860,amphitheatre
977694002,archaeological-site
977694002,temple-2
977603753,settlement
977603753,archaeological-site
977603752,settlement
977603752,settlement-modern
97711900,tomb
97711900,cemetery
977184743,amphitheatre
977841705,amphitheatre
977420436,temple-2
977420437,room
976164504,unlocated
976164504,temple-2
976889442,findspot
976360689,archaeological-site
976360689,temple-2
971900,settlement
971901,settlement
971910,settlement
971911,settlement
971907,fortified-settlement
971907,settlement
971908,settlement
971905,settlement
971913,settlement
971902,settlement
971903,settlement
971721,label
971776,settlement
971799,settlement
971795,settlement
971783,settlement
971717,settlement
971701,settlement
971757,settlement
971700,settlement
971716,settlement
971741,settlement
971782,settlement
971794,settlement
971736,settlement
971761,settlement
971777,settlement
971720,settlement
971793,settlement
971785,settlement
971746,settlement
971711,settlement
971707,settlement
971750,settlement
971727,settlement
971770,settlement
971766,settlement
971789,settlement
971731,settlement
971730,settlement
971767,settlement
971788,settlement
971771,settlement
971751,settlement
971710,settlement
971747,settlement
971784,settlement
971792,settlement
971705,region
971713,settlement
971744,settlement
971787,settlement
971791,settlement
971729,settlement
971709,settlement
971748,settlement
971764,settlement
971772,settlement
971725,settlement
971773,settlement
971765,settlement
971732,settlement
971749,settlement
971708,settlement
971728,settlement
971790,settlement
971786,settlement
971769,unknown
971745,settlement
971712,label
971712,people
971753,settlement
971758,settlement
971719,settlement
971735,settlement
971762,settlement
971774,settlement
971715,settlement
971742,settlement
971739,settlement
971739,archaeological-site
971797,settlement
971778,settlement
971796,tumulus
971779,settlement
971780,settlement
971743,settlement
971714,settlement
971755,settlement
971722,settlement
971775,settlement
971763,settlement
971734,settlement
971718,settlement
971759,settlement
971703786,settlement
971703785,amphitheatre
971724591,settlement-modern
971687,settlement
971691,settlement
971690,settlement
971696,settlement
971696,settlement-modern
971695,settlement
971699,river
971698,settlement
971694,settlement
971689,settlement
971693,settlement
971693,hill
971692,settlement
971688,settlement
971691208,hill
971849,settlement
971808,settlement
971873,settlement
971824,settlement
971865,settlement
971812,settlement
971845,settlement
971804,settlement
971890,settlement
971828,settlement
971886,settlement
971869,settlement
971887,settlement
971868,settlement
971891,settlement
971805,settlement
971852,settlement
971844,settlement
971813,settlement
971864,settlement
971825,settlement
971872,settlement
971848,settlement
971802,settlement
971896,settlement
971838,settlement
971880,settlement
971818,settlement
971859,settlement
971875,settlement
971834,mountain
971834,label
971863,settlement
971862,settlement
971823,settlement
971874,settlement
971858,settlement
971881,sanctuary
971881,settlement
971839,settlement
971878,settlement
971878,archaeological-site
971803,settlement
971854,settlement
971842,settlement
971882,settlement
971882,archaeological-site
971894,settlement
971894,archaeological-site
971800,settlement
971857,settlement
971816,settlement
971861,settlement
971820,settlement
971898,settlement
971899,settlement
971837,settlement
971860,settlement
971817,settlement
971840,district
971801,settlement
971895,settlement
971867,settlement
971888,settlement
971826,settlement
971884,settlement
971892,settlement
971806,settlement
971851,settlement
971847,settlement
971810,settlement
971811,settlement
971846,settlement
971850,ruin
971850,settlement
971850,archaeological-site
971807,settlement
971885,settlement
971870,settlement
971827,settlement
971831,settlement
971866,settlement
971866,settlement-modern
971889,settlement
971832733,city-gate
971497934,townhouse
971580111,monument
978027002,townhouse
978717380,villa
978725165,grove
978725165,sanctuary
978725164,grove
978725164,unlocated
97875559,settlement
97875560,settlement
978176715,church-2
978851914,archaeological-site
978854626,aqueduct
978854625,arch
978853094,unlocated
978853094,estate
978492068,unlocated
978492068,temple-2
978507066,unknown
978527351,river
974950163,tomb
974950163,temple-2
974097777,settlement
974747818,cemetery
974747818,archaeological-site
974428346,tomb
974544554,unknown
973956,mine
973957,mine
973954,mine-2
973958,mine-2
973955,mine
973952,mine
973953,mine
973087402,settlement
973041326,fort-2
973041325,road
973706432,church-2
973706432,basilica
973706432,church
973646718,temple-2
973646284,region
973198,canal
973199,canal
973197,canal
973869063,nuraghe
973421832,building
973200,canal
973296890,cemetery
973204925,bath
973267320,cemetery
973264595,military-installation-or-camp-temporary
973289406,castle
97294452,ceramicproduction
97294452,cemetery
97294452,archaeological-site
972010344,volcano
972734719,archaeological-site
972605108,sanctuary
97218909,production
97218909,settlement
972443,bridge
972442,bridge
972476923,unlocated
972476923,settlement
972453396,villa
972453396,archaeological-site
972371932,cemetery
972371930,villa
972561590,settlement
972528602,tomb
975975197,taberna-shop
975975197,townhouse
975915186,archaeological-site
975153391,fort-2
975871574,forum
975884601,military-installation-or-camp-temporary
975884600,fortlet
975884602,hillfort
975462,unlocated
975464,unlocated
975464,settlement
975410331,unlocated
975410331,settlement
975410331,fort
975276181,garden-hortus
975276181,townhouse
975276180,cemetery
975572958,cemetery
969006333,archaeological-site
969006334,fortified-settlement
969006334,archaeological-site
969121824,church-2
969121823,hill
969838059,amphitheatre
969223180,theatre
969598250,unknown
969598251,unknown
969543392,mosque
960087430,port
960087430,settlement-modern
960751428,unlocated
960751428,city-gate
960751425,unlocated
960751425,city-gate
