key,term,definition,same_as,uri
complete,complete,A string of characters in an ancient (primary) source is thought to be correct,,https://pleiades.stoa.org/vocabularies/name-completeness/complete
non-reconstructable,fragmentary and not reconstructable,A string of characters in an ancient source is damaged or missing such that the complete name cannot be read and it is impossible to restore the missing character(s) with confidence,,https://pleiades.stoa.org/vocabularies/name-completeness/non-reconstructable
reconstructable,"fragmentary, but reconstructable","A string of characters in an ancient source is damaged or missing such that the complete name cannot be read, but the missing character(s) can be restored with confidence",,https://pleiades.stoa.org/vocabularies/name-completeness/reconstructable
