key,term,definition
associated_modern,associated modern name,Name of a modern geographic feature used/transferred to nearby or associated ancient site.
ethnic,ethnic name,"The noun or adjective applied to an individual, people or tribe associated with a geographic feature."
geographic,geographic name,The proper name of a geographic feature.
label,"label (map, atlas, gazetteer)",A textual label used for the feature in a map or atlas. May be descriptive or the geographic name of an associated feature.
unknown,name of unknown type,"A name is classified as ""unknown"" only when the type of name cannot be determined, usually because a primary source is fragmentary or provides insufficient context."
undefined,undefined name,"A name is classified as ""undefined"" when no determination as to its type has yet been made."
